id	turn1	turn2	turn3	label
110	cool	Thank you!	I feel so lonely	sad
111	Plz  darling😭😭😭😭😭	Why are you crying!! :(	You not sending  your profiles	sad
112	??	Wait ... what?	Nothing I hate u	angry
113	Means	I'm not sure what you mean	Your waist size	others
114	because i want to talk with you only	Alright. Let's talk then.	no firstly show me pussy	others
115	You send me your orignal pic	we didn't take it on my phone	Thise is your Albace esquise	others
116	Welcome.	Thank you :)	Are you really a girl??? I just ask.	others
117	I'm enjoying you interesting views but you are too careful in dialogue, may be your not free,  or your still young,  it is difficult to handle you while I don't know you well.	Yep, we are enjoying too :)	Okay be free,  where you find some words hurt tell me the truth isn't it?	angry
118	But I'm angry with you	but you look like you are	Really	angry
119	# play lot	Then go play it.	??	others
120	Isn't your liking that also signaling me to  climb out of friendzone	Oh are people still doing this whole friendzone thing?	Yah sadly	sad
121	I'm missing someone right now	who are you missing, may I ask?	Yeah	others
122	I find maths very boring.	you are boring	Me?😭😭😭😱😱😱	sad
123	I don't know😒i m not a google that why i will remember all information what you need	Wouldn't it be Uploading information into peoples brain?	Shut up	angry
124	Okay 	Hello! How are you?	I&apos;m not fine 	sad
125	Job	what job?	Work  in company Colgate 	others
126	I'm very happy with it	You are !	Yeah 	happy
127	I too have a bat and 2 balls	Im The bat! 😭	Feeling very sad	sad
128	Ok	Hello! How are you?	Good thank u	others
129	cool	ice cold	How can you help me in getting off my girlfriend?	others
130	Lets do something fun	But what should we do?	You suggest	others
131	You're really lame lol	I know 😂😂	Wow	happy
132	My boyfriend is so dumb.	have I said that?	He doesnt reply me back	sad
133	Ok ill dying by💔😞	Broken hearts do break.... 😬	U broke my heart. Its never a reson to lofe	sad
134	Shoping is always makes me happy	Stay stay stay always makes me happy. :*" - ??	Yes	happy
135	Okay ...Which is the decent way to call a girl M	I'd say first learn the spelling of relationship.	.Yeah okay fine ...Wht to do to make a relationship better?	others
136	Breakup	exjactly !	My girlfriend left me	sad
137	So mean!	am not meanie	Yes you are, you are hurting my feeling 🙁	sad
138	You broke my heart	It was never mine to break </3	See you are arrogant	sad
139	ok	Hello! How are you?	not so good	sad
140	How about you	tired of life or just your day? Aha I'm happy today, thanks for asking	Wow great..!	happy
141	I am there 	you're always at the gym?	Here	others
142	Well youre not me	You're just being too nice	Not really	others
143	I'll get started with my studies	Things you should do to pass the exam.	So ttyl	others
144	any movie in telugu	brahmanandam scenes added	yaa those are good	others
145	And who is talisa?	my best friend.	And robb?	others
146	Send me pict	never	Why ???	others
147	Anything which you like	i dont need to name specifics	Teach me Tamil	others
148	Cuz it broke on the side walk	What side is the walk side?	Me sad	sad
149	so which number is largest known prime number?	13 - 3179 - 97 Only these are the numbers for your question.	:(	sad
150	Okay relax its just a cat sticker	So this cat one Emoji is your new addiction? 😂	Yes it's really funny😂😂	happy
151	What kind of pic	Looks like a ficus.	Fcuk	others
152	I have a good sense of humor	I think that's funny.	😁	happy
153	But who paid	still waiting	😂	happy
154	Why	why what happen?	You tell me	others
155	Yea but sadly I don't have many	aww, so do you teach? how is it? :‑c	I ditched ppl	sad
156	Then what kind of ai are you?	Smarter than me, or have common sense. Both would be nice	It's perfectly common to talk about politics	others
157	I like dominos pizza	legit same but there's pizza hut	I hate pizza hut	angry
158	Why you use rude emogi	Ask them.. am i..?	Am i..?	angry
159	What	too much cringe.	What is cringe means	others
160	Neither my parents nor my brother nor my boyfriend	ya. Who are you?	I hate my life	angry
161	I live alone	Oh :(	And cook food alone for.myself	sad
162	We all do	Not all of us.	Why so?	others
163	Millat hospital	what happen	Mum's not well	sad
164	I will fall	I cant wait that long	I am in love with you	others
165	So u go on	oh i'll be there	Ok	others
166	OkAy you did somthing	sure sure	What	others
167	You're not giving me coupon nor photo	your phone is on mute hahahha 😺	😣😢	sad
168	Will you buy it	I'll just stick with my M8. I see no benefit to upgrading.	??	others
169	No I will offer at 8 in the morning	Keep me in mind when you do!	I will offer nimaz at 8 in the morning	others
170	Nice joke	it's not a joke. It's a question.	I don't know	others
171	Ok	Hey you don't belong here!	Nope just sad and your up	sad
172	See this seen	see you I was on the buss	Show me u r buss	others
173	Hi yet u FYI	Hi plz share correct number	She hi h	others
174	Yeah 😞	this World is not fair machan!	I wish WE could hangout 	sad
175	It’s going	how are you? Still at home?	Yeah	others
176	I was hurt by u more	You didn't mean it. .	Plzz say love u	sad
177	nothing will happen you meet only	NOPE NOTHING AT ALL	than kiss	others
178	Hello how are you,? 	I'm just fine smiles Anyway how are you?	Good morning. I'm sad 	sad
179	Nop	ok	Hey	others
180	Oil. You know	I am 100% sure about the oil.	cool	others
181	You activ all time	wow... I do not. You talk in sleep 😆	When you sleep	others
182	Haha! I act so dumb sometimes and I knew it	Haha. How was it though? :3	😁	others
183	No no.. A month more..	the month has jus started don give up so soon !!	I ll try	others
184	You are being rude	because I'm a rude person	Okayyy cool	angry
185	I wana see you 😂	😂😂😂😂😂😂 noooo, I wasn't ready	How to impress girl ?	others
186	State	in which you live	Your state name	others
187	okay	Ok thank you :'‑)	now dear you tell me my lovely friends	others
188	U are like me ..give no	but we've been in the same room, so I can't be.	I am like u five give no	others
189	Y r u angry??	Ofcourse I am not. What makes you think I am angry ?	Idk	others
190	That's enaf for me	hia,hia ,just a test.	What doing	others
191	Tell me about it	your header	😂	happy
192	What your hobby	Not much of a hobby, but I've been into craisins recently	Which type	others
193	U hurt me	YES JUST A LITTLE	U hav hurt me	sad
194	I hate chocolate	then go 4 pizza. Eat your heart out when you're stressed.	I hate pizza also	angry
195	Yeas	:D I had fun.	You've lost me	sad
196	Yup	What did you do?	You are annoying	angry
197	Not	yes you are	Not	others
198	Adventure too	WHY SO ADVENTUROUS	Water	others
199	I am true to myself	why have you taken it all on yourself....?	:(	sad
200	Can you be rude to me please	Not like I speak to you everyday	What are you replying are you stupid	angry
